Nodes,Edges,Attempt,Distance,Time,TransitiveTime
10,100,0,2,78590,181217
10,100,1,0,62897,96005
10,100,2,2,64632,40105
10,100,3,1,38882,79092
10,100,4,2,36024,85703
10,100,5,1,40715,87722
10,100,6,0,27921,28999
10,100,7,1,27837,56163
10,100,8,1,29159,73377
10,100,9,0,28409,27743
10,100,10,2,52410,64603
10,100,11,1,56770,163963
10,100,12,0,31556,32426
10,100,13,1,39993,112974
10,100,14,2,46022,52297
10,100,15,2,55901,42565
10,100,16,2,34985,38389
10,100,17,1,30346,38581
10,100,18,2,35829,45124
10,100,19,1,28169,55326
10,100,20,0,28236,28707
10,100,21,1,30129,39389
10,100,22,2,41112,42541
10,100,23,0,27694,27977
10,100,24,1,34094,47480
10,100,25,1,31056,71784
10,100,26,1,28049,68890
10,100,27,1,31275,41539
10,100,28,0,26788,28628
10,100,29,2,41756,45510
10,100,30,1,33032,46810
10,100,31,1,27881,53236
10,100,32,2,33021,59478
10,100,33,2,44648,47900
10,100,34,1,32133,80029
10,100,35,2,54985,101961
10,100,36,2,122795,64158
10,100,37,1,80951,64463
10,100,38,0,28386,26726
10,100,39,1,31178,44593
10,100,40,1,31545,37260
10,100,41,2,40510,62068
10,100,42,1,29387,80212
10,100,43,2,46948,70176
10,100,44,1,33052,69875
10,100,45,1,35806,95364
10,100,46,1,39902,104647
10,100,47,0,26619,46696
10,100,48,1,51028,49820
10,100,49,1,35461,103742
10,200,0,1,39736,92036
10,200,1,1,30696,56218
10,200,2,1,57762,209052
10,200,3,1,28016,70612
10,200,4,1,29537,56305
10,200,5,1,30373,74216
10,200,6,2,54397,117913
10,200,7,1,46912,146819
10,200,8,1,31178,123240
10,200,9,1,35117,63560
10,200,10,1,28282,44689
10,200,11,1,29578,39429
10,200,12,1,29930,37798
10,200,13,2,54744,47066
10,200,14,1,31370,33174
10,200,15,1,30986,46585
10,200,16,1,35464,105218
10,200,17,1,59056,61858
10,200,18,1,70900,101781
10,200,19,1,32644,79427
10,200,20,2,55127,48421
10,200,21,1,30578,57157
10,200,22,2,54567,36560
10,200,23,1,30438,84765
10,200,24,2,50053,91506
10,200,25,1,31260,85543
10,200,26,1,30732,59508
10,200,27,0,26687,29772
10,200,28,2,55993,62082
10,200,29,2,72572,41933
10,200,30,1,47350,88023
10,200,31,0,29259,29821
10,200,32,1,30157,57443
10,200,33,1,48302,172629
10,200,34,1,33753,108171
10,200,35,1,38057,52999
10,200,36,1,33518,47848
10,200,37,1,31527,36690
10,200,38,1,30474,47242
10,200,39,1,35208,43548
10,200,40,2,41337,48939
10,200,41,1,32961,45942
10,200,42,2,73790,44794
10,200,43,1,31855,60870
10,200,44,1,37143,63934
10,200,45,2,49626,66750
10,200,46,0,29272,28847
10,200,47,1,28929,58161
10,200,48,0,27154,28826
10,200,49,1,29847,75837
10,1000,0,1,38768,91672
10,1000,1,1,33035,52766
10,1000,2,0,31667,31668
10,1000,3,1,36136,80440
10,1000,4,1,30019,60748
10,1000,5,1,33909,75267
10,1000,6,1,31403,60064
10,1000,7,1,32253,49416
10,1000,8,1,28672,78419
10,1000,9,1,30633,57157
10,1000,10,1,28155,61184
10,1000,11,1,38162,50581
10,1000,12,1,28110,52020
10,1000,13,1,32900,39482
10,1000,14,1,32216,41277
10,1000,15,0,35871,31893
10,1000,16,1,29184,40519
10,1000,17,0,26355,32912
10,1000,18,1,32022,49609
10,1000,19,1,29990,51815
10,1000,20,1,30365,53689
10,1000,21,1,29097,54142
10,1000,22,1,29886,80827
10,1000,23,1,32746,67249
10,1000,24,1,27994,43919
10,1000,25,1,32333,58479
10,1000,26,1,31555,56272
10,1000,27,1,35735,50845
10,1000,28,1,31721,58798
10,1000,29,1,29535,107205
10,1000,30,1,50927,85934
10,1000,31,1,54065,154600
10,1000,32,1,43245,68531
10,1000,33,1,27792,37308
10,1000,34,1,28790,41591
10,1000,35,1,27845,46439
10,1000,36,0,30227,27974
10,1000,37,1,28021,42877
10,1000,38,1,27774,42619
10,1000,39,1,31475,56172
10,1000,40,1,28295,41061
10,1000,41,1,28193,43129
10,1000,42,1,28927,81311
10,1000,43,1,30372,118233
10,1000,44,1,44043,89831
10,1000,45,0,27403,28684
10,1000,46,1,49057,252357
10,1000,47,1,105497,88373
10,1000,48,0,27764,27246
10,1000,49,1,30626,46504
